,DATE,MORTGAGE30US,,,Position,Rates
1,"April 2, 1971",7.33,,Start,1549,7.65
2,"April 9, 1971",7.31,,,1550,7.54
3,"April 16, 1971",7.31,,,1551,7.42
4,"April 23, 1971",7.31,,,1552,7.17
5,"April 30, 1971",7.29,,,1553,7.13
6,"May 7, 1971",7.38,,,1554,7.07
7,"May 14, 1971",7.42,,,1555,6.89
8,"May 21, 1971",7.44,,,1556,7.02
9,"May 28, 1971",7.46,,,1557,7.15
10,"June 4, 1971",7.52,,,1558,7.09
11,"June 11, 1971",7.52,,,1559,6.98
12,"June 18, 1971",7.54,,,1560,7.01
13,"June 25, 1971",7.54,,,1561,7.12
14,"July 2, 1971",7.54,,,1562,7.03
15,"July 9, 1971",7.54,,,1563,6.97
16,"July 16, 1971",7.6,,,1564,6.96
17,"July 23, 1971",7.65,,,1565,6.89
18,"July 30, 1971",7.69,,,1566,6.91
19,"August 6, 1971",7.66,,,1567,7.01
20,"August 13, 1971",7.73,,,1568,7.04
21,"August 20, 1971",7.71,,,1569,7.14
22,"August 27, 1971",7.69,,,1570,7.12
23,"September 3, 1971",7.71,,,1571,7.14
24,"September 10, 1971",7.67,,,1572,7.1
25,"September 17, 1971",7.7,,,1573,7.14
26,"September 24, 1971",7.67,,,1574,7.2
27,"October 1, 1971",7.67,,,1575,7.24
28,"October 8, 1971",7.63,,,1576,7.2
29,"October 15, 1971",7.63,,,1577,7.14
30,"October 22, 1971",7.58,,,1578,7.11
31,"October 29, 1971",7.63,,,1579,7.11
32,"November 5, 1971",7.59,,,1580,7.19
33,"November 12, 1971",7.56,,,1581,7.21
34,"November 19, 1971",7.54,,,1582,7.08
35,"November 26, 1971",7.51,,,1583,7.03
36,"December 3, 1971",7.49,,,1584,7
37,"December 10, 1971",7.47,,,1585,7
38,"December 17, 1971",7.48,,,1586,6.92
39,"December 24, 1971",7.48,,,1587,6.91
40,"December 31, 1971",7.48,,,1588,6.92
41,"January 7, 1972",7.46,,,1589,6.89
42,"January 14, 1972",7.46,,,1590,6.86
43,"January 21, 1972",7.43,,,1591,6.8
44,"January 28, 1972",7.4,,,1592,6.72
45,"February 4, 1972",7.35,,,1593,6.64
46,"February 11, 1972",7.33,,,1594,6.58
47,"February 18, 1972",7.31,,,1595,6.61
48,"February 25, 1972",7.31,,,1596,6.64
49,"March 3, 1972",7.32,,,1597,6.56
50,"March 10, 1972",7.32,,,1598,6.45
51,"March 17, 1972",7.31,,,1599,6.51
52,"March 24, 1972",7.31,,,1600,6.75
53,"March 31, 1972",7.23,,,1601,7.02
54,"April 7, 1972",7.25,,,1602,6.84
55,"April 14, 1972",7.29,,,1603,7.09
56,"April 21, 1972",7.29,,,1604,7.17
57,"April 28, 1972",7.33,,,1605,7.16
58,"May 5, 1972",7.33,,,1606,7.14
59,"May 12, 1972",7.38,,,1607,7.06
60,"May 19, 1972",7.38,,,1608,6.83
61,"May 26, 1972",7.4,,,1609,6.96
62,"June 2, 1972",7.36,,,1610,7.02
63,"June 9, 1972",7.38,,,1611,6.88
64,"June 16, 1972",7.38,,,1612,6.86
65,"June 23, 1972",7.36,,,1613,6.81
66,"June 30, 1972",7.38,,,1614,6.8
67,"July 7, 1972",7.38,,,1615,6.87
68,"July 14, 1972",7.4,,,1616,7.08
69,"July 21, 1972",7.4,,,1617,7.14
70,"July 28, 1972",7.4,,,1618,7.18
71,"August 4, 1972",7.35,,,1619,7.13
72,"August 11, 1972",7.41,,,1620,6.99
73,"August 18, 1972",7.42,,,1621,6.94
74,"August 25, 1972",7.42,,,1622,6.88
75,"September 1, 1972",7.42,,,1623,6.78
76,"September 8, 1972",7.42,,,1624,6.79
77,"September 15, 1972",7.42,,,1625,6.89
78,"September 22, 1972",7.41,,,1626,6.81
79,"September 29, 1972",7.43,,,1627,6.76
80,"October 6, 1972",7.41,,,1628,6.71
81,"October 13, 1972",7.41,,,1629,6.71
82,"October 20, 1972",7.44,,,1630,6.63
83,"October 27, 1972",7.42,,,1631,6.55
84,"November 3, 1972",7.43,,,1632,6.57
85,"November 10, 1972",7.42,,,1633,6.54
86,"November 17, 1972",7.42,,,1634,6.49
